month,start_balance,end_balance,return
2025-01,100.0,124.92085714284758,24.92085714284758
2025-02,124.92085714284758,310.50285714284064,148.55965948726976
2025-03,310.50285714284064,394.9478571428217,27.19620707423437
2025-04,394.9478571428217,238.18071428565008,-39.69312404712737
2025-05,238.18071428565008,161.24357142849567,-32.30200358072808
2025-06,161.24357142849567,266.689285714192,65.39529815144091
2025-07,266.689285714192,584.3175714284439,119.10050486791984
2025-08,584.3175714284439,187.64185714269433,-67.88700762772233
2025-09,187.64185714269433,564.5089999998081,200.8438568003092
2025-10,564.5089999998081,2975.7232857141457,427.1347818573587
2025-11,2975.7232857141457,31230.679142857553,949.5155679558586
2025-12,31230.679142857553,26897.579142861723,-13.874498150280564
